1m | MACD(14,25,6) | 胜率: 16.28% | 收益: -1.86%
1m | MACD(14,25,7) | 胜率: 18.18% | 收益: -1.94%
1m | MACD(14,25,8) | 胜率: 15.56% | 收益: -2.41%
1m | MACD(14,25,9) | 胜率: 15.22% | 收益: -2.49%
1m | MACD(14,26,5) | 胜率: 18.60% | 收益: -1.86%
1m | MACD(14,26,6) | 胜率: 17.78% | 收益: -2.22%
1m | MACD(14,26,7) | 胜率: 13.33% | 收益: -2.25%
1m | MACD(14,26,8) | 胜率: 25.53% | 收益: -1.86%
1m | MACD(14,26,9) | 胜率: 38.64% | 收益: -0.38%
1m | MACD(14,27,5) | 胜率: 23.40% | 收益: -1.94%
1m | MACD(14,27,6) | 胜率: 25.53% | 收益: -1.62%
1m | MACD(14,27,7) | 胜率: 37.78% | 收益: -0.54%
1m | MACD(14,27,8) | 胜率: 20.45% | 收益: -2.18%
1m | MACD(14,27,9) | 胜率: 18.42% | 收益: -1.91%
1m | MACD(14,28,5) | 胜率: 33.33% | 收益: -0.98%
1m | MACD(14,28,6) | 胜率: 28.21% | 收益: -0.95%
1m | MACD(14,28,7) | 胜率: 17.50% | 收益: -1.98%
1m | MACD(14,28,8) | 胜率: 16.67% | 收益: -2.18%
1m | MACD(14,28,9) | 胜率: 15.91% | 收益: -2.46%
1m | MACD(14,29,5) | 胜率: 17.50% | 收益: -2.18%
1m | MACD(14,29,6) | 胜率: 16.67% | 收益: -2.22%
1m | MACD(14,29,7) | 胜率: 22.45% | 收益: -2.02%
1m | MACD(14,29,8) | 胜率: 19.61% | 收益: -2.38%
1m | MACD(14,29,9) | 胜率: 16.33% | 收益: -2.62%
1m | MACD(14,30,5) | 胜率: 22.22% | 收益: -1.98%
1m | MACD(14,30,6) | 胜率: 19.61% | 收益: -2.26%
1m | MACD(14,30,7) | 胜率: 15.38% | 收益: -2.58%
1m | MACD(14,30,8) | 胜率: 19.61% | 收益: -2.26%
1m | MACD(14,30,9) | 胜率: 26.83% | 收益: -0.71%
1m | MACD(14,31,5) | 胜率: 16.98% | 收益: -2.38%
1m | MACD(14,31,6) | 胜率: 17.65% | 收益: -2.10%
1m | MACD(14,31,7) | 胜率: 21.28% | 收益: -1.38%
1m | MACD(14,31,8) | 胜率: 23.68% | 收益: -0.91%
1m | MACD(14,31,9) | 胜率: 24.00% | 收益: -0.16%
1m | MACD(14,32,5) | 胜率: 20.37% | 收益: -1.70%
1m | MACD(14,32,6) | 胜率: 23.26% | 收益: -1.14%
1m | MACD(14,32,7) | 胜率: 28.12% | 收益: -0.40%
1m | MACD(14,32,8) | 胜率: 29.03% | 收益: -0.20%
1m | MACD(14,32,9) | 胜率: 27.59% | 收益: -0.36%
1m | MACD(14,33,5) | 胜率: 24.24% | 收益: -0.51%
1m | MACD(14,33,6) | 胜率: 26.67% | 收益: -0.24%
1m | MACD(14,33,7) | 胜率: 27.59% | 收益: -0.32%
1m | MACD(14,33,8) | 胜率: 26.09% | 收益: 0.98%
1m | MACD(14,33,9) | 胜率: 27.27% | 收益: 0.83%
1m | MACD(14,34,5) | 胜率: 27.59% | 收益: -0.12%
1m | MACD(14,34,6) | 胜率: 22.73% | 收益: 0.94%
1m | MACD(14,34,7) | 胜率: 25.00% | 收益: 0.90%
1m | MACD(14,34,8) | 胜率: 25.00% | 收益: 0.90%
1m | MACD(14,34,9) | 胜率: 38.89% | 收益: -0.20%
1m | MACD(14,35,5) | 胜率: 25.00% | 收益: 0.90%
1m | MACD(14,35,6) | 胜率: 25.00% | 收益: 0.82%
1m | MACD(14,35,7) | 胜率: 23.53% | 收益: -0.44%
1m | MACD(14,35,8) | 胜率: 35.29% | 收益: -0.28%
1m | MACD(14,35,9) | 胜率: 29.41% | 收益: -0.36%
1m | MACD(14,36,5) | 胜率: 25.00% | 收益: 0.75%
1m | MACD(14,36,6) | 胜率: 33.33% | 收益: 0.82%
1m | MACD(14,36,7) | 胜率: 29.41% | 收益: -0.40%
1m | MACD(14,36,8) | 胜率: 28.57% | 收益: -0.00%
1m | MACD(14,36,9) | 胜率: 28.57% | 收益: -0.00%
1m | MACD(14,37,5) | 胜率: 25.00% | 收益: 0.71%
1m | MACD(14,37,6) | 胜率: 30.00% | 收益: 1.14%
1m | MACD(14,37,7) | 胜率: 28.57% | 收益: -0.12%
1m | MACD(14,37,8) | 胜率: 33.33% | 收益: -0.12%
1m | MACD(14,37,9) | 胜率: 28.57% | 收益: -0.12%
1m | MACD(14,38,5) | 胜率: 27.27% | 收益: 0.94%
1m | MACD(14,38,6) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(14,38,7) | 胜率: 28.57% | 收益: -0.12%
1m | MACD(14,38,8) | 胜率: 28.57% | 收益: -0.12%
1m | MACD(14,38,9) | 胜率: 20.00% | 收益: -0.00%
1m | MACD(14,39,5) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(14,39,6) | 胜率: 30.00% | 收益: 0.90%
1m | MACD(14,39,7) | 胜率: 40.00% | 收益: 0.19%
1m | MACD(14,39,8) | 胜率: 33.33% | 收益: 0.27%
1m | MACD(14,39,9) | 胜率: 33.33% | 收益: 0.27%
5m | MACD(10,25,5) | 胜率: 34.78% | 收益: -1.91%
5m | MACD(10,25,6) | 胜率: 36.00% | 收益: -2.10%
5m | MACD(10,25,7) | 胜率: 34.78% | 收益: -2.14%
5m | MACD(10,25,8) | 胜率: 30.43% | 收益: -2.14%
5m | MACD(10,25,9) | 胜率: 29.17% | 收益: -2.38%
5m | MACD(10,26,5) | 胜率: 40.00% | 收益: -1.66%
5m | MACD(10,26,6) | 胜率: 33.33% | 收益: -1.74%
5m | MACD(10,26,7) | 胜率: 30.43% | 收益: -0.14%
5m | MACD(10,26,8) | 胜率: 29.17% | 收益: -0.54%
5m | MACD(10,26,9) | 胜率: 39.13% | 收益: 0.65%
5m | MACD(10,27,5) | 胜率: 28.00% | 收益: -0.75%
5m | MACD(10,27,6) | 胜率: 25.00% | 收益: -1.06%
5m | MACD(10,27,7) | 胜率: 33.33% | 收益: 0.32%
5m | MACD(10,27,8) | 胜率: 42.86% | 收益: 1.71%
5m | MACD(10,27,9) | 胜率: 42.86% | 收益: 1.71%
5m | MACD(10,28,5) | 胜率: 35.00% | 收益: -1.23%
5m | MACD(10,28,6) | 胜率: 39.13% | 收益: 0.16%
5m | MACD(10,28,7) | 胜率: 40.91% | 收益: 1.71%
5m | MACD(10,28,8) | 胜率: 45.00% | 收益: 1.96%
5m | MACD(10,28,9) | 胜率: 40.00% | 收益: 1.40%
5m | MACD(10,29,5) | 胜率: 40.00% | 收益: 0.32%
5m | MACD(10,29,6) | 胜率: 40.00% | 收益: 1.23%
5m | MACD(10,29,7) | 胜率: 42.11% | 收益: 1.80%
5m | MACD(10,29,8) | 胜率: 40.00% | 收益: 1.48%
